Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-08-13,2018,8,13,Monday,32,2018-32,52.33,52.74,51.92,52.22,103563600,50.01,0.006457091346319999,48.18428571428571,45.9752
2018-08-14,2018,8,14,Tuesday,32,2018-32,52.54,52.64,52.06,52.44,82992000,50.22,0.0042129092399563195,48.451428571428565,46.0642
2018-08-15,2018,8,15,Wednesday,32,2018-32,52.31,52.69,52.08,52.56,115230400,50.34,0.002336239536218754,48.737142857142864,46.14860000000001
2018-08-16,2018,8,16,Thursday,32,2018-32,52.94,53.45,52.87,53.33,114001600,51.08,0.014649894728913093,49.13071428571429,46.2446
2018-08-17,2018,8,17,Friday,32,2018-32,53.36,54.49,53.29,54.4,141708000,52.1,0.01997005060029511,49.61571428571428,46.3634
2018-08-20,2018,8,20,Monday,33,2018-33,54.53,54.79,53.78,53.87,121150800,51.59,-0.009743469730535304,50.05785714285714,46.4804
2018-08-21,2018,8,21,Tuesday,33,2018-33,54.2,54.3,53.51,53.76,104639200,51.49,-0.0019496329778576627,50.30142857142857,46.5976
2018-08-22,2018,8,22,Wednesday,33,2018-33,53.53,54.09,53.46,53.76,76072400,51.49,4.675041980917172e-05,50.445,46.7098
2018-08-23,2018,8,23,Thursday,33,2018-33,53.66,54.26,53.65,53.87,75532800,51.6,0.00204595758905346,50.58571428571429,46.8318
2018-08-24,2018,8,24,Friday,33,2018-33,54.15,54.22,53.78,54.04,73905600,51.76,0.0031093970094309142,50.720000000000006,46.9566
2018-08-27,2018,8,27,Monday,34,2018-34,54.29,54.69,54.08,54.49,82100400,52.18,0.00823445248751642,50.917142857142856,47.099000000000004
2018-08-28,2018,8,28,Tuesday,34,2018-34,54.75,55.13,54.73,54.92,91107200,52.6,0.008075601336888116,51.14214285714286,47.2504
2018-08-29,2018,8,29,Wednesday,34,2018-34,55.04,55.87,54.85,55.74,109019200,53.39,0.014929334560433105,51.395714285714284,47.431999999999995
2018-08-30,2018,8,30,Thursday,34,2018-34,55.81,57.06,55.6,56.26,195175200,53.88,0.009193767627008853,51.695,47.6196
2018-08-31,2018,8,31,Friday,34,2018-34,56.63,57.22,56.5,56.91,173360400,54.5,0.01155403759777518,52.01571428571429,47.824600000000004
2018-09-04,2018,9,4,Tuesday,35,2018-35,57.1,57.29,56.66,57.09,109560400,54.68,0.003206944397005751,52.33428571428572,48.0358
2018-09-05,2018,9,5,Wednesday,35,2018-35,57.25,57.42,56.28,56.72,133332000,54.32,-0.006524758409658826,52.61857142857143,48.2528
2018-09-06,2018,9,6,Thursday,35,2018-35,56.56,56.84,55.33,55.78,137160000,53.42,-0.016617379683463107,52.785714285714285,48.4412
2018-09-07,2018,9,7,Friday,35,2018-35,55.46,56.34,55.18,55.33,150479200,52.99,-0.008068211738498254,52.84928571428572,48.62219999999999
2018-09-10,2018,9,10,Monday,36,2018-36,55.24,55.46,54.12,54.58,158066000,52.28,-0.013420615497789279,52.89857142857143,48.7826
2018-09-11,2018,9,11,Tuesday,36,2018-36,54.5,56.08,54.14,55.96,142996000,53.6,0.025282717255598497,53.049285714285716,48.971199999999996
2018-09-12,2018,9,12,Wednesday,36,2018-36,56.24,56.25,54.96,55.27,197114800,52.93,-0.012418990338626368,53.152142857142856,49.13660000000001
2018-09-13,2018,9,13,Thursday,36,2018-36,55.88,57.09,55.64,56.6,166825600,54.21,0.024155272456059196,53.33857142857143,49.343199999999996
2018-09-14,2018,9,14,Friday,36,2018-36,56.44,56.71,55.63,55.96,127997200,53.59,-0.011351179499506592,53.46928571428572,49.530199999999994
2018-09-17,2018,9,17,Monday,37,2018-37,55.54,55.74,54.32,54.47,148780400,52.17,-0.026625981134766774,53.46857142857143,49.6766
2018-09-18,2018,9,18,Tuesday,37,2018-37,54.45,55.46,54.28,54.56,126286800,52.25,0.0016523021337848665,53.44357142857143,49.812200000000004
2018-09-19,2018,9,19,Wednesday,37,2018-37,54.62,54.9,53.83,54.59,108495200,52.29,0.0005954857406460512,53.365,49.949600000000004
2018-09-20,2018,9,20,Thursday,37,2018-37,55.06,55.57,54.79,55.01,106435200,52.68,0.007601878213231439,53.27928571428572,50.1066
